"","INSTNM","md_earn_wne_p10.REPORTED.EARNINGS","PREDDEG","index_std","AfterScorecardRelease","HighEarning"
"1","Abilene Christian University",40200,3,0.0761370691413287,0,0
"2","Academy of Art University",36100,3,0.131926550338315,0,0
"3","Adams State University",33200,3,-0.029718245563213,0,0
"4","Adelphi University",50600,3,-0.0242490998268076,0,1
"5","Adrian College",36500,3,0.0223812635454809,0,0
"6","Adventist University of Health Sciences",51100,3,0.0351725341058163,0,1
"7","Agnes Scott College",39400,3,0.0283302207365456,0,0
"8","AI Miami International University of Art and Design",29300,3,0.0885192966872594,0,0
"9","AIB College of Business",37200,3,0.22711158054755,0,0
"10","Alabama A & M University",31400,3,0.00564616120918922,0,0
"11","Alabama State University",27800,3,-0.0350403556321216,0,0
"12","Alaska Pacific University",47400,3,0.0531383052410069,0,1
"13","Albany College of Pharmacy and Health Sciences",110600,3,0.0400115851240741,0,1
"14","Albany State University",32700,3,0.0555903650983934,0,0
"15","Albertus Magnus College",52200,3,0.0426706587293103,0,1
"16","Albion College",45100,3,-0.0384976296657907,0,1
"17","Albright College",48500,3,0.00934059151599404,0,1
"18","Alcorn State University",30600,3,-0.0509051299758633,0,0
"19","Alderson Broaddus University",43400,3,-0.075881444025572,0,1
"20","Alfred University",42300,3,-0.0597170902853082,0,1
"21","Alice Lloyd College",33400,3,0.0406696564798789,0,0
"22","Allegheny College",49200,3,0.032017101252297,0,1
"23","Allen College",52400,3,-0.0665747433326128,0,1
"24","Allen University",19400,3,0.0779272699157812,0,0
"25","Alliant International University",51800,3,0.173347472257513,0,1
"26","Alma College",44700,3,-0.0288988373288062,0,1
"27","Alvernia University",42600,3,0.00555815658240157,0,1
"28","Alverno College",37400,3,0.118163106690751,0,0
"29","American Academy of Art",26700,3,0.0564406877469572,0,0
"30","American InterContinental University-Atlanta",43000,3,0.180928641255319,0,1
"31","American InterContinental University-Houston",43000,3,0.120517189803224,0,1
"32","American InterContinental University-Online",43000,3,0.0506571342171812,0,1
"33","American InterContinental University-South Florida",43000,3,0.105582366341992,0,1
"34","American International College",42400,3,0.0399034415599474,0,1
"35","American University",55900,3,0.0868422245255145,0,1
"36","American University of Health Sciences",36800,3,0.0868667343112058,0,0
"37","Amherst College",56800,3,-0.0337693931004692,0,1
"38","Amridge University",38100,3,0.0334012459949211,0,0
"39","Andrews University",36000,3,6.64865486787089e-05,0,0
"40","Angelo State University",38000,3,-0.00359599498184507,0,0
"41","Anna Maria College",42400,3,0.0866498275580031,0,1
"42","Antioch University-Los Angeles",35500,3,0.152149668465572,0,0
"43","Antioch University-Midwest",35500,3,0.173078746519501,0,0
"44","Antioch University-Santa Barbara",35500,3,0.121351496979194,0,0
"45","Antioch University-Seattle",35500,3,0.20415615751166,0,0
"46","Appalachian Bible College",27900,3,0.0125304969865856,0,0
"47","Appalachian State University",36600,3,0.00347897021306799,0,0
"48","Arcadia University",43700,3,-0.00539310979172171,0,1
"49","Argosy University-Atlanta",38200,3,0.11988763945049,0,0
"50","Argosy University-Chicago",38200,3,0.197638932152594,0,0
"51","Argosy University-Dallas",38200,3,0.150417105926338,0,0
"52","Argosy University-Denver",38200,3,0.13834340241838,0,0
"53","Argosy University-Hawaii",38200,3,0.1179676969807,0,0
"54","Argosy University-Inland Empire",38200,3,0.0497883759101613,0,0
"55","Argosy University-Los Angeles",38200,3,0.081368683000631,0,0
"56","Argosy University-Nashville",38200,3,0.145488487425495,0,0
"57","Argosy University-Orange County",38200,3,0.0891106654361486,0,0
"58","Argosy University-Phoenix",38200,3,0.21504120156003,0,0
"59","Argosy University-Phoenix Online Division",38200,3,0.21504120156003,0,0
"60","Argosy University-San Diego",38200,3,0.0984614940532171,0,0
"61","Argosy University-Sarasota",38200,3,0.125142385261116,0,0
"62","Argosy University-Schaumburg",38200,3,0.157048156974624,0,0
"63","Argosy University-Seattle",38200,3,0.155264144128548,0,0
"64","Argosy University-Tampa",38200,3,0.123510095056356,0,0
"65","Argosy University-Washington DC",38200,3,0.040106855986653,0,0
"66","Arizona Christian University",31000,3,-0.0109379525852894,0,0
"67","Arizona State University-Tempe",45200,3,0.0017554362381738,0,1
"68","Arkansas Baptist College",21100,3,0.0461769556092881,0,0
"69","Arkansas State University-Main Campus",32700,3,-0.0546241021401604,0,0
"70","Arkansas Tech University",35000,3,-0.0988569674948593,0,0
"71","Arlington Baptist College",34000,3,0.135852095577971,0,0
"72","Armstrong Atlantic State University",39400,3,0.170527290974876,0,0
"73","Art Academy of Cincinnati",27900,3,-0.0419324300480456,0,0
"74","Art Center College of Design",51700,3,0.0631718197259396,0,1
"75","Asbury University",34100,3,0.0370298290450076,0,0
"76","Ashford University",37500,3,0.233103968714627,0,0
"77","Ashland University",39200,3,0.0677751925367643,0,0
"78","Assumption College",52800,3,0.0383538063524225,0,1
"79","Athens State University",39700,3,0.0672988194950485,0,0
"80","Atlantic University College",18600,3,0.0911326107824194,0,0
"81","Auburn University",45400,3,0.0655327041732761,0,1
"82","Auburn University at Montgomery",34800,3,0.0804671234549398,0,0
"83","Augsburg College",44800,3,-0.000626865924212775,0,1
"84","Aurora University",41500,3,0.134599784031472,0,1
"85","Austin College",47600,3,0.113359735890396,0,1
"86","Austin Peay State University",34700,3,-0.0342184249309301,0,0
"87","Averett University",42300,3,0.0471010442994369,0,1
"88","Averett University-Non-Traditional Programs",42300,3,0.0471010442994369,0,1
"89","Avila University",41600,3,0.0499350852929141,0,1
"90","Azusa Pacific University",49000,3,0.118190586906052,0,1
"91","Babson College",85500,3,0.00328509508555575,0,1
"92","Bacone College",30600,3,-0.0320202769483265,0,0
"93","Baker College Center for Graduate Studies",26500,3,0.205646975236256,0,0
"94","Baker University",48900,3,0.0641644409164685,0,1
"95","Baldwin Wallace University",44000,3,-0.00740282573199139,0,1
"96","Ball State University",39000,3,0.0197424042890285,0,0
"97","Baptist Bible College",29500,3,0.0912405791224852,0,0
"98","Baptist Bible College & Seminary of Pennsylvania",30000,3,0.243127583477199,0,0
"99","Baptist Memorial College of Health Sciences",54900,3,-0.00974759666496525,0,1
"100","Barclay College",26800,3,0.0175002072411444,0,0
"101","Bard College",35700,3,0.0214896999408156,0,0
"102","Barnard College",57400,3,0.0563904776733831,0,1
"103","Barry University",45300,3,0.114611574383317,0,1
"104","Barton College",36500,3,0.0560850501537365,0,0
"105","Bastyr University",32000,3,0.128874224228982,0,0
"106","Bates College",53500,3,0.0561407315084477,0,1
"107","Bay Path College",41900,3,0.0118990290810432,0,1
"108","Baylor University",49100,3,-0.025711323500531,0,1
"109","Becker College",35800,3,-0.012970338589545,0,0
"110","Belhaven University",37900,3,0.0986502106133957,0,0
"111","Bellarmine University",44900,3,0.0189375295593565,0,1
"112","Bellevue University",52200,3,0.196743256017909,0,1
"113","Bellin College",55600,3,-0.0224513493345899,0,1
"114","Belmont Abbey College",39200,3,0.0119037318243892,0,0
"115","Belmont University",39100,3,0.0696808184501095,0,0
"116","Beloit College",37900,3,-0.00921721552980167,0,0
"117","Bemidji State University",37300,3,0.0913417885259482,0,0
"118","Benedict College",21400,3,0.0823834740842334,0,0
"119","Benedictine College",37800,3,-0.00383684331234684,0,0
"120","Benedictine University",51000,3,0.118793287554035,0,1
"121","Bennett College",29400,3,0.0609941091779149,0,0
"122","Bennington College",26500,3,0.0435850807923258,0,0
"123","Bentley University",74900,3,-0.00561810095050363,0,1
"124","Berea College",34400,3,0.0266540835213432,0,0
"125","Berkeley College-New York",39100,3,0.0847395317341769,0,0
"126","Berkeley College-Woodland Park",36600,3,0.0252027191658251,0,0
"127","Berklee College of Music",30300,3,0.123548315962343,0,0
"128","Berry College",37700,3,0.0357575132072926,0,0
"129","Bethany Lutheran College",34000,3,-0.0470493589900876,0,0
"130","Bethel College-Indiana",36500,3,0.0818977380702474,0,0
"131","Bethel College-North Newton",37400,3,0.0910411744493547,0,0
"132","Bethune-Cookman University",28700,3,-0.0378548710662713,0,0
"133","Beulah Heights University",26800,3,0.178637081800965,0,0
"134","Biola University",40700,3,0.0257974934364747,0,0
"135","Birmingham Southern College",41900,3,0.080960740858479,0,1
"136","Black Hills State University",34400,3,-0.0562798162169686,0,0
"137","Blackburn College",38000,3,-0.0677919985184275,0,0
"138","Blessing Rieman College of Nursing",49800,3,-0.00973549228570248,0,1
"139","Bloomfield College",39000,3,0.0368148520838689,0,0
"140","Bloomsburg University of Pennsylvania",43800,3,0.07909234649499,0,1
"141","Blue Mountain College",31300,3,0.0459767921827859,0,0
"142","Bluefield College",42800,3,-0.0595244395615226,0,1
"143","Bluefield State College",29400,3,0.0396550564674088,0,0
"144","Bluffton University",38300,3,-0.00934523680710517,0,0
"145","Boise State University",35300,3,-0.00995205078039754,0,0
"146","Bon Secours Memorial College of Nursing",62200,3,-0.0601973002329514,0,1
"147","Boston Architectural College",41600,3,0.0499401997563484,0,1
"148","Boston College",67000,3,0.0632390295826389,0,1
"149","Boston University",60600,3,0.0253306649942378,0,1
"150","Bowdoin College",54800,3,-0.0132697803421148,0,1
"151","Bowie State University",47000,3,-0.0582975944555254,0,1
"152","Bowling Green State University-Main Campus",39000,3,0.0354514380337166,0,0
"153","Bradley University",52400,3,0.0444499588805132,0,1
"154","Brandeis University",58800,3,0.037100787960084,0,1
"155","Brenau University",42600,3,0.150298012787481,0,1
"156","Brescia University",36800,3,0.00736503031766374,0,0
"157","Brevard College",31100,3,0.105645050047268,0,0
"158","Brewton-Parker College",34700,3,0.0980927478371206,0,0
"159","Briar Cliff University",38600,3,-0.0663502254794582,0,0
"160","Bridgewater College",42600,3,-0.0195818039723836,0,1
"161","Bridgewater State University",41500,3,0.0831780930508808,0,1
"162","Brigham Young University-Hawaii",39400,3,-0.0401278347711184,0,0
"163","Brigham Young University-Idaho",39000,3,-0.0729622449335425,0,0
"164","Brigham Young University-Provo",57400,3,-0.0170232861584187,0,1
"165","Brooks Institute",29100,3,0.0716999242773373,0,0
"166","Brown College-Mendota Heights",33700,3,0.149343493076784,0,0
"167","Brown University",59700,3,0.0407953556721312,0,1
"168","Bryan College-Dayton",35500,3,0.155184998096176,0,0
"169","Bryan College of Health Sciences",50500,3,0.0575452166456064,0,1
"170","Bryant University",61900,3,0.00567787974436109,0,1
"171","Bryn Mawr College",50400,3,0.0844686524180412,0,1
"172","Bucknell University",68800,3,-0.0467468245106931,0,1
"173","Buena Vista University",38100,3,0.00436968447136742,0,0
"174","Buffalo State SUNY",38900,3,-0.0759903596243061,0,0
"175","Burlington College",28900,3,0.157686167162682,0,0
"176","Butler University",52400,3,0.0429700699020701,0,1
"177","Cabrini College",42700,3,-0.0111841333375754,0,1
"178","Cairn University-Langhorne",32600,3,0.0386150618731268,0,0
"179","Caldwell College",46200,3,0.0883413443295546,0,1
"180","California Baptist University",41800,3,0.0268447171885743,0,1
"181","California College of the Arts",35700,3,0.0174412588099469,0,0
"182","California Institute of Technology",74000,3,-0.0492507942656936,0,1
"183","California Institute of the Arts",32500,3,-0.0083613489119717,0,0
"184","California Lutheran University",52900,3,0.02378331255412,0,1
"185","California Maritime Academy",81100,3,0.0229176965743036,0,1
"186","California Polytechnic State University-San Luis Obispo",60900,3,0.0187026902393735,0,1
"187","California State Polytechnic University-Pomona",52000,3,0.0721388589226339,0,1
"188","California State University-Bakersfield",48100,3,-0.0218970706376093,0,1
"189","California State University-Chico",45100,3,0.0552370926326352,0,1
"190","California State University-Dominguez Hills",42800,3,0.0183166873954202,0,1
"191","California State University-East Bay",51300,3,0.00890148890471204,0,1
"192","California State University-Fresno",43200,3,0.0707451884169564,0,1
"193","California State University-Fullerton",46500,3,0.0387229020372519,0,1
"194","California State University-Long Beach",46900,3,-0.021728189196595,0,1
"195","California State University-Los Angeles",44900,3,0.0598743684021176,0,1
"196","California State University-Monterey Bay",41500,3,-0.0259579499892371,0,1
"197","California State University-Northridge",44200,3,0.0492824458094897,0,1
"198","California State University-Sacramento",46500,3,0.0275940591889674,0,1
"199","California State University-San Bernardino",45500,3,-0.0390088183710827,0,1
"200","California State University-San Marcos",45400,3,0.0282598394266067,0,1
"201","California State University-Stanislaus",44900,3,0.0338296075591985,0,1
"202","California University of Pennsylvania",38100,3,0.0486819347312822,0,0
"203","Calumet College of Saint Joseph",37200,3,-0.00471179046608616,0,0
"204","Calvary Bible College and Theological Seminary",30600,3,0.134197182198716,0,0
"205","Calvin College",40900,3,0.01710686811472,0,0
"206","Cambridge College",36500,3,0.17593474569387,0,0
"207","Cameron University",33900,3,0.0708255417784106,0,0
"208","Campbell University",42900,3,0.042352462536714,0,1
"209","Campbellsville University",32100,3,-0.0170145913654275,0,0
"210","Canisius College",45700,3,-0.00426407932114168,0,1
"211","Capella University",69500,3,0.200934716945659,0,1
"212","Capital University",41400,3,0.0071251872564093,0,1
"213","Capitol College",58900,3,0.193645040849507,0,1
"214","Cardinal Stritch University",51000,3,0.147698794986544,0,1
"215","Caribbean University-Bayamon",17600,3,0.0541945914774409,0,0
"216","Caribbean University-Carolina",17600,3,0.0464292828429392,0,0
"217","Caribbean University-Ponce",17600,3,0.0508857165024252,0,0
"218","Caribbean University-Vega Baja",17600,3,-0.0207968869525912,0,0
"219","Carleton College",46100,3,0.0382936693860515,0,1
"220","Carlow University",39900,3,0.0442411489568422,0,0
"221","Carnegie Mellon University",72000,3,0.0121029744374276,0,1
"222","Carroll College",44000,3,0.038382201523881,0,1
"223","Carroll University",43600,3,0.0347252800730257,0,1
"224","Carson-Newman University",35400,3,-0.117082800425016,0,0
"225","Carthage College",42400,3,-0.0233037505952357,0,1
"226","Case Western Reserve University",67000,3,0.0530538675593501,0,1
"227","Castleton State College",34600,3,0.0884449986772699,0,0
"228","Catawba College",36600,3,-0.00648446020309579,0,0
"229","Catholic University of America",54500,3,0.0350785387415044,0,1
"230","Cazenovia College",31900,3,0.0593334327744702,0,0
"231","Cedar Crest College",45200,3,0.104538301348669,0,1
"232","Cedarville University",40900,3,0.00823021137177161,0,0
"233","Centenary College",41600,3,0.117302377335265,0,1
"234","Centenary College of Louisiana",39300,3,0.0880171897772238,0,0
"235","Central Baptist College",35700,3,0.00909900795133154,0,0
"236","Central Christian College of Kansas",31100,3,0.0132082558171497,0,0
"237","Central Christian College of the Bible",28100,3,-0.0643218974735541,0,0
"238","Central College",41200,3,0.0680257777170594,0,1
"239","Central Connecticut State University",43700,3,0.0464140789425294,0,1
"240","Central Methodist University-College of Graduate and Extended Studies",33400,3,0.115110008113881,0,0
"241","Central Methodist University-College of Liberal Arts and Sciences",33400,3,0.115110008113881,0,0
"242","Central Michigan University",40000,3,0.0112107527982488,0,0
"243","Central Penn College",32100,3,0.094398730348827,0,0
"244","Central State University",24900,3,0.0545217359953458,0,0
"245","Central Washington University",44900,3,0.00527250093069448,0,1
"246","Centre College",45000,3,0.0848369256743597,0,1
"247","Chadron State College",37500,3,-0.00331530370177542,0,0
"248","Chamberlain College of Nursing-Arizona",56300,3,-0.110086141358275,0,1
